subject,robot,target_id,moves
53226,white,17648,"['4,1', '4,4', '3,1', '3,4', '5,4', '2,4']"
53226,white,2290,"['1,3', '6,6', '2,4']"
53226,white,10934,"['1,1', '6,5', '1,5', '3,3', '1,0', '0,6', '0,5', '2,2']"
53226,white,1710,"['3,1', '3,5', '4,1', '0,1', '3,4', '1,3', '3,0']"
53226,white,10950,"['0,0', '0,1', '6,5', '0,5', '1,2', '6,2']"
53226,white,8232,"['2,1', '2,2', '1,0', '1,1', '3,5', '5,5', '3,2', '3,0', '3,6']"
53226,white,5663,"['4,4', '0,0', '1,1', '4,5', '0,1', '4,1']"
53226,white,13565,"['2,1', '3,2', '3,3', '1,1', '5,1']"
53226,white,7246,"['0,2', '1,2', '4,2', '3,6', '1,1', '0,1', '0,6', '0,5', '0,5', '0,5', '3,2']"
53226,white,14000,"['2,1', '2,2', '6,1', '3,2', '3,0', '3,5', '2,5', '2,4', '3,4']"
53226,blue,5663,"['4,4', '0,0']"
53226,blue,7246,"['0,2', '3,5', '2,5', '2,4', '4,5', '3,1']"
53226,blue,13565,"['2,1', '3,2', '3,4']"
53226,blue,10934,"['1,1', '6,5', '2,2']"
53226,blue,8232,"['2,1', '2,4', '3,3', '3,5']"
53226,blue,10950,"['0,0', '6,4', '1,1']"
53226,blue,17648,"['2,1', '3,1', '2,1', '4,1', '4,2', '4,4']"
53226,blue,14000,"['2,1', '2,2', '3,2', '6,4']"
53226,blue,1710,"['0,1', '3,4', '1,2']"
53226,blue,2290,"['1,3', '2,4', '6,6']"
62614,white,13565,"['2,6', '1,3', '3,0', '5,3', '2,1', '4,5', '1,1', '5,5']"
62614,white,10950,"['0,0', '0,4', '6,4', '3,4', '3,0', '3,5', '3,2', '5,3']"
62614,white,1710,"['0,1', '3,4', '0,4', '3,1', '0,6', '0,6', '1,5', '4,2', '1,0', '2,3']"
62614,white,10934,"['4,3', '3,3', '6,5', '6,1', '1,1', '1,5', '0,0', '0,0', '0,3', '3,0', '3,6', '3,4']"
62614,white,7246,"['0,2', '0,2', '1,2', '3,5', '0,2', '0,5', '1,6', '1,1', '4,3', '2,2', '2,4']"
62614,white,8232,"['2,1', '4,5', '2,2', '5,1', '1,5', '6,6', '3,4', '3,6', '3,0']"
62614,white,5663,"['0,2', '4,2', '2,4', '1,2', '4,6', '2,0', '4,3', '0,0', '1,0']"
62614,white,17648,"['3,1', '5,4', '4,1', '4,3', '3,5', '3,5', '3,4', '4,5', '2,3']"
62614,white,14000,"['2,1', '6,1', '2,4', '1,2', '3,2', '6,4', '5,1', '1,1']"
62614,white,2290,"['0,4', '1,3', '6,6', '6,3', '4,3', '3,4', '3,5']"
62614,blue,17648,"['3,1', '5,4', '4,1', '4,2']"
62614,blue,5663,"['0,0', '0,4', '2,4', '4,4', '3,2', '4,3', '3,0']"
62614,blue,2290,"['1,3', '6,6', '6,3', '4,3', '1,6', '4,4', '4,5']"
62614,blue,8232,"['2,1', '4,5', '3,3']"
62614,blue,1710,"['0,1', '3,4', '2,2']"
62614,blue,10950,"['0,0', '6,4', '5,3']"
62614,blue,14000,"['2,1', '3,4', '6,1', '2,4', '6,4', '4,3', '3,2']"
62614,blue,13565,"['2,1', '2,1', '2,1', '4,5', '3,3']"
62614,blue,7246,"['0,2', '3,5', '2,4', '2,4', '2,4', '2,4', '2,4']"
62614,blue,10934,"['1,1', '6,5', '5,3']"
116241,white,8232,"['2,1', '4,5', '4,5', '4,4', '4,5', '2,5', '4,1', '5,1', '1,1', '3,6', '3,4']"
